,account_id,bank_district_id,frequency,acc_open_year,acc_open_month,acc_open_day,LOR,client_id,type,client_district_id,birth_year_x,birth_day_x,gender_x,age,age_group,age_grp_desc,total_credit,total_withdrawal,account_id_trans,trans_id_trans,initial_transaction,latest_transaction,amount_trans,balance_trans,credits,withdrawals,cash_credit,credit_bank_transfer,cash_withdrawal,unknown,remittance_bank_transfer_Withdrawal,credit_card_withdrawal,account_id_order,order_count_order,recipient_bank_count_order,recipient_account_count_order,total_payment_amount_order,total_household_payments_order,total_loan_payments_order, total_insurance_payments_order,total_lease_payments_order,total_unknown_payment_order,district_id_district,district_name_district,region_district,inhabitants_district,municipalities_w_inhabitants_less_then_499_district,municipalities_w_inhabitants_500_1999_district,municipalities_w_inhabitants_2000_9999_district,municipalities_w_inhabitants_grater_then_10k_district,no_of_cities_district,ratio_of_urban_inhabitants_district,average_salary_district,unemployment_rate_95_district,unemployment_rate_96_district,entrepreneurs_per_1000_inhabitants_district,crimes_1995_district,crimes_1996_district,loan_id_loan,date_loan,amount_loan,duration_loan,payments_loan,status_loan,year_loan,month_loan,day_loan,status_desc_loan,loan_issued_in_97,card_id_card,type_card,issued_card,issued_year_card,issued_month_card,issued_day_card,card_issued_in_97,gender_y
0,576,55,MONTHLY FEE,1993,1,1,3,692,OWNER,74,1936,11,F,60,60,senior,76097.3,71059.4,576,358,1993-01-01,1998-12-31,879383.95,35550.7,145,0,900.0,446904.0,174592.65,7971.3,249016.0,0.0,576.0,1.0,1.0,1.0,3662.0,3662.0,0.0,0.0,0.0,0.0,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782.0,18347,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
1,3818,74,MONTHLY FEE,1993,1,1,3,4601,OWNER,1,1935,2,M,61,60,senior,172248.4,217295.4,3818,560,1993-01-01,1998-12-31,2322734.8,62199.8,154,0,1019300.0,0.0,669192.65,13062.15,621180.0,0.0,3818.0,3.0,3.0,3.0,9135.0,3596.0,0.0,4065.0,0.0,1474.0,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,M
2,704,55,MONTHLY FEE,1993,1,1,3,844,OWNER,22,1945,14,M,51,50,adult,164512.9,208071.4,704,479,1993-01-01,1998-12-31,2152649.5,81680.3,146,0,983100.0,0.0,934712.65,11190.85,223646.0,0.0,704.0,2.0,2.0,2.0,3338.0,2141.0,0.0,0.0,0.0,1197.0,22,Domazlice,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089.0,1117,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,M
3,2378,16,MONTHLY FEE,1993,1,1,3,2873,OWNER,16,1975,24,F,21,20,young adult,299896.4,393350.4,2378,435,1993-01-01,1998-12-31,3097173.4,93349.5,186,0,1306137.0,0.0,1094440.5,14143.9,682452.0,0.0,2378.0,1.0,1.0,1.0,9612.0,9612.0,0.0,0.0,0.0,0.0,16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874.0,1913,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
4,2632,24,MONTHLY FEE,1993,1,2,3,3177,OWNER,24,1938,12,M,58,50,senior,164426.9,192034.8,2632,564,1993-01-02,1998-12-31,2067330.55,62959.3,146,0,985400.0,0.0,773652.65,10769.25,297508.64999999997,0.0,2632.0,3.0,2.0,3.0,4383.0,2042.0,0.0,2300.0,0.0,41.0,24,Karlovy Vary,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198.0,5273,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,M
5,1972,77,MONTHLY FEE,1993,1,2,3,2397,OWNER,46,1918,14,M,78,70,senior,64589.5,61557.4,1972,369,1993-01-02,1998-12-31,756308.95,23740.2,145,0,400.0,381456.0,181932.65,6472.3,186048.0,0.0,1972.0,1.0,1.0,1.0,2736.0,2736.0,0.0,0.0,0.0,0.0,46,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854.0,2618,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,M
6,1539,1,TURNOVER FEE,1993,1,3,3,1866,OWNER,64,1942,11,F,54,50,adult,178207.2,356665.0,1539,452,1993-01-03,1998-12-31,2625392.1,8957.3,159,0,1032219.0,0.0,1585484.55,7688.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484.0,4265,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
7,793,47,MONTHLY FEE,1993,1,3,3,950,OWNER,76,1965,12,F,31,30,young adult,42023.3,36889.4,793,497,1993-01-03,1998-12-31,488561.4,19396.2,145,0,800.0,244872.0,82072.65,6660.75,154156.0,0.0,793.0,3.0,3.0,3.0,2267.0,1212.0,0.0,851.0,0.0,204.0,76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736.0,2807,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
8,2484,74,MONTHLY FEE,1993,1,3,3,2999,OWNER,74,1979,24,F,17,10,youth,164293.8,194255.4,2484,608,1993-01-03,1998-12-31,2090542.9,43644.0,147,0,989700.0,0.0,764412.65,9541.25,326889.0,0.0,2484.0,4.0,3.0,4.0,4870.0,2343.0,0.0,599.0,0.0,1928.0,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782.0,18347,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
9,1695,76,MONTHLY FEE,1993,1,3,3,2058,OWNER,76,1971,2,M,25,20,young adult,271399.5,337390.4,1695,459,1993-01-03,1998-12-31,3646058.95,106897.4,219,0,1673986.0,0.0,1146262.05,17710.9,802400.0,5700.0,1695.0,1.0,1.0,1.0,14658.0,14658.0,0.0,0.0,0.0,0.0,76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736.0,2807,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,321.0,gold,1998-08-16 00:00:00,1998.0,8.0,16.0,0.0,M
10,1726,48,MONTHLY FEE,1993,1,3,3,2093,OWNER,48,1970,24,M,26,20,young adult,168042.5,187703.4,1726,602,1993-01-03,1998-12-31,2080110.7,34243.8,154,0,1013700.0,0.0,608172.65,8735.05,449503.0,0.0,1726.0,4.0,4.0,4.0,6709.0,4438.0,0.0,74.0,0.0,2197.0,48,Rychnov nad Kneznou,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655.0,1717,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,M
11,2881,70,MONTHLY FEE,1993,1,4,3,3483,OWNER,70,1940,2,M,56,50,0,128050.1,116603.4,2881,422,1993-01-04,1998-12-31,1360939.55,52610.8,182,0,709496.0,0.0,329032.65,11597.9,310813.0,0.0,2881.0,1.0,1.0,1.0,4639.0,4639.0,0.0,0.0,0.0,0.0,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878.0,10108,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,M
12,2357,19,MONTHLY FEE,1993,1,4,3,2849,OWNER,19,1928,2,M,68,60,senior,78441.7,77563.4,2357,357,1993-01-04,1998-12-31,906775.95,38296.6,145,0,800.0,463248.0,176242.65,7262.3,259223.0,0.0,2357.0,1.0,1.0,1.0,3869.0,3869.0,0.0,0.0,0.0,0.0,19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999.0,1099,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,M
13,2177,62,MONTHLY FEE,1993,1,4,3,2636,OWNER,28,1918,24,M,78,70,senior,62537.9,72361.4,2177,348,1993-01-04,1998-12-31,722994.25,32458.4,145,0,800.0,368856.0,131532.65,6381.6,215424.0,0.0,2177.0,1.0,1.0,1.0,3168.0,3168.0,0.0,0.0,0.0,0.0,28,Plzen - sever,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580.0,1525,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,M
14,485,6,TURNOVER FEE,1993,1,4,3,583,OWNER,75,1965,1,F,31,30,young adult,299357.3,514484.0,485,605,1993-01-04,1998-12-31,3589196.1,79053.2,195,0,1464651.0,0.0,1230894.0,12771.1,880880.0,0.0,485.0,4.0,3.0,4.0,15213.6,7421.0,0.0,3572.0,2629.6,1591.0,75,Prerov,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063.0,4505,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
